Price,Age,Rooms,Bedroom,Latitude,Longitude,Distance_coast,Address,Bathroom,Landsize
452600.0,41.0,880,129.0,37.88,-122.23,9263.04077285038,,,
358500.0,21.0,7099,1106.0,37.86,-122.22,10225.7330715424,,,
352100.0,52.0,1467,190.0,37.85,-122.24,8259.08510932293,,,
341300.0,52.0,1274,235.0,37.85,-122.25,7768.0865708364,,,
342200.0,52.0,1627,280.0,37.85,-122.25,7768.0865708364,,,
269700.0,52.0,919,213.0,37.85,-122.25,7768.0865708364,,,
299200.0,52.0,2535,489.0,37.84,-122.25,6843.02084737498,,,
241400.0,52.0,3104,687.0,37.84,-122.25,6843.02084737498,,,
226700.0,42.0,2555,665.0,37.84,-122.26,6363.94801261769,,,
261100.0,52.0,3549,707.0,37.84,-122.25,6843.02084737498,,,
281500.0,52.0,2202,434.0,37.85,-122.26,7349.62084160981,,,
241800.0,52.0,3503,752.0,37.85,-122.26,7349.62084160981,,,
213500.0,52.0,2491,474.0,37.85,-122.26,7349.62084160981,,,
191300.0,52.0,696,191.0,37.84,-122.26,6363.94801261769,,,
159200.0,52.0,2643,626.0,37.85,-122.26,7349.62084160981,,,
140000.0,50.0,1120,283.0,37.85,-122.26,7349.62084160981,,,
152500.0,52.0,1966,347.0,37.85,-122.27,7016.67724394864,,,
155500.0,52.0,1228,293.0,37.85,-122.27,7016.67724394864,,,
158700.0,50.0,2239,455.0,37.84,-122.26,6363.94801261769,,,
162900.0,52.0,1503,298.0,37.84,-122.27,5976.28805827603,,,
147500.0,40.0,751,184.0,37.85,-122.27,7016.67724394864,,,
159800.0,42.0,1639,367.0,37.85,-122.27,7016.67724394864,,,
113900.0,52.0,2436,541.0,37.84,-122.27,5976.28805827603,,,
99700.0,52.0,1688,337.0,37.84,-122.27,5976.28805827603,,,
132600.0,52.0,2224,437.0,37.84,-122.27,5976.28805827603,,,
107500.0,41.0,535,123.0,37.85,-122.28,6781.86317450868,,,
93800.0,49.0,1130,244.0,37.85,-122.28,6781.86317450868,,,
105500.0,52.0,1898,421.0,37.85,-122.28,6781.86317450868,,,
108900.0,50.0,2082,492.0,37.84,-122.28,5698.72690317439,,,
132000.0,52.0,729,160.0,37.84,-122.28,5698.72690317439,,,
122300.0,49.0,1916,447.0,37.84,-122.28,5698.72690317439,,,
115200.0,52.0,2153,481.0,37.84,-122.28,5698.72690317439,,,
110400.0,48.0,1922,409.0,37.84,-122.27,5976.28805827603,,,
104900.0,49.0,1655,366.0,37.83,-122.27,4967.00519443677,,,
109700.0,51.0,2665,574.0,37.83,-122.27,4967.00519443677,,,
97200.0,49.0,1215,282.0,37.83,-122.27,4967.00519443677,,,
104500.0,48.0,1798,432.0,37.83,-122.27,4967.00519443677,,,
103900.0,52.0,1511,390.0,37.83,-122.28,4629.27324947942,,,
191400.0,52.0,1470,330.0,37.83,-122.26,5427.30174564534,,,
176000.0,52.0,2432,715.0,37.83,-122.26,5427.30174564534,,,
155400.0,52.0,1665,419.0,37.83,-122.26,5427.30174564534,,,
150000.0,51.0,936,311.0,37.83,-122.26,5427.30174564534,,,
118800.0,49.0,713,202.0,37.84,-122.26,6363.94801261769,,,
188800.0,52.0,950,202.0,37.84,-122.26,6363.94801261769,,,
184400.0,52.0,1443,311.0,37.83,-122.26,5427.30174564534,,,
182300.0,52.0,1656,420.0,37.83,-122.26,5427.30174564534,,,
142500.0,50.0,1125,322.0,37.83,-122.26,5427.30174564534,,,
137500.0,43.0,1007,312.0,37.82,-122.27,4012.37142896127,,,
187500.0,40.0,624,195.0,37.82,-122.26,4569.92738545906,,,
112500.0,40.0,946,375.0,37.82,-122.27,4012.37142896127,,,
171900.0,21.0,896,453.0,37.82,-122.27,4012.37142896127,,,
93800.0,43.0,1868,456.0,37.82,-122.27,4012.37142896127,,,
97500.0,41.0,3221,853.0,37.82,-122.27,4012.37142896127,,,
104200.0,52.0,1630,456.0,37.82,-122.27,4012.37142896127,,,
